Prompt,Query
Check for failed pods from the last 1 hour,"KubePodInventory
| where TimeGenerated > ago(1h)
| where PodStatus == ""Failed""
| project Name, PodUid, ServiceName, Namespace, ContainerStatusReason"
List pods that have failed recently,"KubePodInventory
| where TimeGenerated > ago(1h)
| where PodStatus == ""Failed""
| project Name, PodUid, ServiceName, Namespace, ContainerStatusReason"
Identify pods that have restarted recently,"KubePodInventory
| where TimeGenerated > ago(1h)
| summarize arg_max(TimeGenerated, *) by PodUid
| where PodRestartCount > 0
| project TimeGenerated, Name, PodUid, Namespace, PodStartTime, PodRestartCount, PodStatus, ContainerStatus"
Logs of terminated containers from the last 24 hours,"KubePodInventory 
| where TimeGenerated > ago(24h) 
| where ContainerStatus == ""terminated"" 
| join kind=inner (ContainerLogV2) on $left.Name == $right.PodName, $left.ContainerID == $right.ContainerId"
"Logs of container ""abc"" from the last 2 days","ContainerLogV2
| where TimeGenerated > ago(2d)
| where ContainerName == ""abc"""
calculate error rate by workload last 30m,"ContainerLogV2
| where TimeGenerated > ago(30m)
| extend Labels = KubernetesMetadata.podLabels
| extend WorkloadName = tostring(coalesce(Labels[""app.kubernetes.io/name""], Labels[""app""], PodName))
| extend IsError = LogLevel in~ (""CRITICAL"",""ERROR"") or LogSource==""stderr""
| summarize Errors=countif(IsError), Total=count() by WorkloadName, PodNamespace
| extend ErrorRatePct = 100.0 * Errors / iff(Total==0,1,Total)
| order by ErrorRatePct desc"
Noisy Containers (Container with the highest log volume),"ContainerLogV2
| where TimeGenerated > ago(1h)
| summarize logs_count=count() by ContainerName, PodNamespace
| top 20 by logs_count desc"
"ordered logs of pods with ""agent"" in the last 5 minutes","ContainerLogV2
| where TimeGenerated > ago(5m)
| where PodName has ""agent""
| order by TimeGenerated"
"Show errors for container ""mycontainer""","ContainerLogV2
| where ContainerName == ""mycontainer""
| where LogSource == ""stderr"" 
| project TimeGenerated, LogMessage"
"Monitor events in namespaces ""default"" and ""minecraft"", from new to old","KubeEvents
| where Namespace in (""default"", ""minecraft"")
| project TimeGenerated, Name, Namespace, KubeEventType, Message
| sort by TimeGenerated desc"
In which namespace are containers restarts most frequent?,"KubePodInventory
| summarize TotalContainerRestarts = sum(ContainerRestartCount) by Namespace
| sort by TotalContainerRestarts"
Identify the most recent events for each pod over the last day,"KubeEvents
| where TimeGenerated > ago(24h)
| where ObjectKind == ""Pod""
| summarize arg_max(TimeGenerated, *) by Name, Namespace
| project TimeGenerated, Name, Namespace, KubeEventType, Reason, Message"
Find pods running on a node starting with aks-linuxpool-1,"KubePodInventory
| where Computer startswith ""aks-linuxpool-1""
| project Name, Namespace, Computer, ClusterId"
Listing of pods operating on a node with name aks-linuxpool-1*,"KubePodInventory
| where Computer startswith ""aks-linuxpool-1""
| project Name, Namespace, Computer, ClusterId"
Find pods assigned to computers starting with aks-linuxpool-1,"KubePodInventory
| where Computer startswith ""aks-linuxpool-1""
| project Name, Namespace, Computer, ClusterId"
Which pods are currently running on nodes called aks-linuxpool-1*,"KubePodInventory
| where Computer startswith ""aks-linuxpool-1""
| project Name, Namespace, Computer, ClusterId"
Find the top 5 nodes with the most running pods,"KubePodInventory
| where PodStatus == ""Running""
| extend NodeId = strcat(ClusterId, '/', Computer)
| summarize Count = count() by NodeId
| top 5 by Count"
Nodes with the highest active pod numbers,"KubePodInventory
| where PodStatus == ""Running""
| extend NodeId = strcat(ClusterId, '/', Computer)
| summarize Count = count() by NodeId
| top 5 by Count"
Count pod restarts by namespace,"KubePodInventory
| summarize TotalPodRestarts = sum(PodRestartCount) by Namespace
| sort by TotalPodRestarts"
"Show events for resources that are not pods, and that have ""linuxpool"" in the name","KubeEvents
| where ObjectKind != ""Pod""
| where Name has ""linuxpool""
| project TimeGenerated, ObjectKind, Name, Namespace, KubeEventType, Reason, Message"
"Search for ""fail"" in container logs","ContainerLogV2
| where LogMessage has ""error"""
"Search for ""fail"" within container logs","ContainerLogV2
| where LogMessage has ""error"""
"Find ""fail"" in container log entries","ContainerLogV2
| where LogMessage has ""error"""
"show logs containing ""fail""","ContainerLogV2
| where LogMessage has ""error"""
"Show status over time for node ""abc""","KubeNodeInventory
| where Computer == ""abc""
| order by TimeGenerated
| extend PreviousStatus = prev(Status), NextStatus=next(Status)
| where Status!=PreviousStatus or Status!=NextStatus
| project TimeGenerated, Computer, Status, PreviousStatus, NextStatus, ClusterId, Labels"
"Timeline of node status changes for node ""abc""","KubeNodeInventory
| where Computer == ""abc""
| order by TimeGenerated
| extend PreviousStatus = prev(Status), NextStatus=next(Status)
| where Status!=PreviousStatus or Status!=NextStatus
| project TimeGenerated, Computer, Status, PreviousStatus, NextStatus, ClusterId, Labels"
Chronological overview of node conditions for node abc,"KubeNodeInventory
| where Computer == ""abc""
| order by TimeGenerated
| extend PreviousStatus = prev(Status), NextStatus=next(Status)
| where Status!=PreviousStatus or Status!=NextStatus
| project TimeGenerated, Computer, Status, PreviousStatus, NextStatus, ClusterId, Labels"
Has the state of node abc changed over time?,"KubeNodeInventory
| where Computer == ""abc""
| order by TimeGenerated
| extend PreviousStatus = prev(Status), NextStatus=next(Status)
| where Status!=PreviousStatus or Status!=NextStatus
| project TimeGenerated, Computer, Status, PreviousStatus, NextStatus, ClusterId, Labels"
Find containers exceeding memory usage of 500000000,"KubePodMetrics| where MemoryRssBytes > 500000000\n| project ContainerID, PodName, Namespace, MemoryRssBytes"
Containers that surpass a 500000000 bytes memory limit,"KubePodMetrics| where MemoryRssBytes > 500000000\n| project ContainerID, PodName, Namespace, MemoryRssBytes"
Track containers with high memory usage,"KubePodMetrics| where MemoryRssBytes > 500000000\n| project ContainerID, PodName, Namespace, MemoryRssBytes"
Which containers are using more memory than allocated?,"KubePodMetrics| where MemoryRssBytes > 500000000\n| project ContainerID, PodName, Namespace, MemoryRssBytes"
Aggregate CPU usage by pod and container,"KubePodMetrics| summarize TotalCPUUsageMillicores = sum(CPUUsageMillicores) by PodName, ContainerName\n| sort by TotalCPUUsageMillicores desc"
Total CPU usage breakdown by pod and container,"KubePodMetrics| summarize TotalCPUUsageMillicores = sum(CPUUsageMillicores) by PodName, ContainerName\n| sort by TotalCPUUsageMillicores desc"
